gem,versions_counted,first_version,last_version,functions_first,functions_last,functions_ruby_last,functions_native_last,functions_public_last,functions_private_last,functions_protected_last,functions_added_total,functions_removed_total,max_abs_drift,rb_files_last,native_files_last,native_languages,lines_code_last,gem_bytes_last,parse_errors_last,net_change
knapsack,1,4.0.0,4.0.0,145.0,145.0,145.0,0.0,116.0,26.0,3.0,145.0,0.0,0.0,47.0,0.0,,1092.0,595456.0,0.0,0.0
knapsack_pro,1,10.0.1,10.0.1,623.0,623.0,623.0,0.0,460.0,163.0,0.0,623.0,0.0,0.0,83.0,0.0,,4289.0,43008.0,0.0,0.0
koala,1,3.7.0,3.7.0,253.0,253.0,254.0,0.0,215.0,19.0,19.0,253.0,0.0,0.0,18.0,0.0,,1236.0,5522944.0,0.0,0.0
konfig-config,1,3.0.0,3.0.0,62.0,62.0,62.0,0.0,54.0,8.0,0.0,62.0,0.0,0.0,19.0,0.0,,384.0,8192.0,0.0,0.0
kostya-sigar,1,2.0.11,2.0.11,24.0,24.0,0.0,24.0,24.0,0.0,0.0,24.0,0.0,0.0,1.0,35.0,c,99.0,204800.0,0.0,0.0
kramdown,1,2.5.2,2.5.2,385.0,385.0,401.0,0.0,327.0,40.0,18.0,385.0,0.0,0.0,55.0,0.0,,5855.0,128512.0,0.0,0.0
kramdown-parser-gfm,1,1.1.0,1.1.0,10.0,10.0,10.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,3.0,0.0,,197.0,11776.0,0.0,0.0
kramdown-syntax-coderay,1,1.0.1,1.0.1,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,,121.0,7680.0,0.0,0.0
kt-paperclip,1,8.0.0,8.0.0,571.0,571.0,572.0,0.0,415.0,137.0,19.0,571.0,0.0,0.0,66.0,0.0,,3504.0,62976.0,0.0,0.0
kubeclient,1,4.13.0,4.13.0,111.0,111.0,111.0,0.0,80.0,31.0,0.0,111.0,0.0,0.0,16.0,0.0,,1099.0,36864.0,0.0,0.0
kwalify,1,0.7.2,0.7.2,518.0,518.0,546.0,0.0,410.0,79.0,29.0,518.0,0.0,0.0,19.0,0.0,,4481.0,203776.0,0.0,0.0
ladle,1,1.0.1,1.0.1,43.0,43.0,43.0,0.0,36.0,7.0,0.0,43.0,0.0,0.0,5.0,3.0,java,285.0,11854848.0,0.0,0.0
landlock,1,0.5.1,0.5.1,121.0,121.0,110.0,11.0,121.0,0.0,0.0,121.0,0.0,0.0,16.0,4.0,c,1483.0,32256.0,0.0,0.0
langfuse-ruby,1,0.2.0,0.2.0,386.0,386.0,386.0,0.0,317.0,68.0,1.0,386.0,0.0,0.0,16.0,0.0,,3014.0,60928.0,0.0,0.0
language_server-protocol,1,3.17.0.1,3.17.0.1,2143.0,2143.0,2143.0,0.0,2142.0,1.0,0.0,2143.0,0.0,0.0,357.0,0.0,,10737.0,78336.0,0.0,0.0
launchdarkly-server-sdk,1,8.15.1,8.15.1,1236.0,1236.0,1236.0,0.0,1069.0,163.0,4.0,1236.0,0.0,0.0,98.0,0.0,,9654.0,150528.0,0.0,0.0
launchy,1,3.1.1,3.1.1,106.0,106.0,107.0,0.0,105.0,1.0,0.0,106.0,0.0,0.0,14.0,0.0,,575.0,17408.0,0.0,0.0
ld-eventsource,1,2.6.0,2.6.0,39.0,39.0,39.0,0.0,25.0,14.0,0.0,39.0,0.0,0.0,8.0,0.0,,478.0,15360.0,0.0,0.0
leaflet-rails,1,1.9.5,1.9.5,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,,129.0,291840.0,0.0,0.0
lefthook,1,2.1.12,2.1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,50752000.0,0.0,0.0
