package,version,status,xml_doc,xml_bytes,readme,n_dll,n_xml,nupkg_bytes,bytes_read
System.Security.AccessControl,6.0.1,ok,lib/net6.0/System.Security.AccessControl.xml,8557,,3,3,235270,65558
System.Runtime.Extensions,4.3.1,ok,ref/netcore50/System.Runtime.Extensions.xml,310179,,6,40,1069513,65558
System.Reflection.Emit.Lightweight,4.7.0,ok,lib/netstandard1.0/System.Reflection.Emit.Lightweight.xml,42111,,6,13,155693,65558
System.Runtime,4.3.1,ok,ref/netcore50/System.Runtime.xml,1505294,,7,50,7272877,65558
System.Text.Encodings.Web,10.0.11,ok,lib/net10.0/System.Text.Encodings.Web.xml,63180,,5,5,410701,65558
System.Reflection.TypeExtensions,4.7.0,ok,lib/net461/System.Reflection.TypeExtensions.xml,10599,,13,27,249287,65558
System.Configuration.ConfigurationManager,10.0.11,ok,lib/net10.0/System.Configuration.ConfigurationManager.xml,469941,,5,5,986559,65558
System.Collections.Immutable,10.0.11,ok,lib/net10.0/System.Collections.Immutable.xml,541757,,5,5,794891,65558
System.Threading.Tasks,4.3.0,ok,ref/netcore50/System.Threading.Tasks.xml,394822,,3,30,840017,65558
System.Reflection.Primitives,4.3.0,ok,ref/netcore50/System.Reflection.Primitives.xml,89203,,2,20,281679,65558
System.Reflection,4.3.0,ok,ref/netcore50/System.Reflection.xml,100570,,6,40,700821,65558
System.Security.Cryptography.ProtectedData,10.0.11,ok,lib/net10.0/System.Security.Cryptography.ProtectedData.xml,13611,,5,5,153874,65558
System.Threading,4.3.0,ok,ref/netcore50/System.Threading.xml,190263,,5,30,708088,65558
System.Reflection.Emit,4.7.0,ok,lib/netstandard1.1/System.Reflection.Emit.xml,281363,,6,13,406832,65558
System.Resources.ResourceManager,4.3.0,ok,ref/netcore50/System.Resources.ResourceManager.xml,8657,,2,20,85908,65558
Azure.Core,1.62.0,ok,lib/net10.0/Azure.Core.xml,815854,README.md,5,5,2132729,65558
System.Globalization,4.3.0,ok,ref/netcore50/System.Globalization.xml,183309,,3,30,589136,65558
System.Collections,4.3.0,ok,ref/netcore50/System.Collections.xml,297205,,3,30,810001,65558
Microsoft.Extensions.FileProviders.Physical,10.0.11,ok,lib/net10.0/Microsoft.Extensions.FileProviders.Physical.xml,24895,,5,5,194325,65558
Microsoft.IdentityModel.Logging,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.Logging.xml,43604,README.md,7,7,197620,65558
Microsoft.Extensions.FileSystemGlobbing,10.0.11,ok,lib/net10.0/Microsoft.Extensions.FileSystemGlobbing.xml,60030,,5,5,191144,65558
Microsoft.IdentityModel.JsonWebTokens,8.22.0,ok,lib/net10.0/Microsoft.IdentityModel.JsonWebTokens.xml,148073,README.md,7,7,562710,65558
System.IdentityModel.Tokens.Jwt,8.22.0,ok,lib/net10.0/System.IdentityModel.Tokens.Jwt.xml,144479,README.md,7,7,392311,65558
NETStandard.Library,2.0.3,ok,,0,,0,0,3146139,65558
System.Diagnostics.Debug,4.3.0,ok,ref/netcore50/System.Diagnostics.Debug.xml,31657,,3,30,149774,65558
Microsoft.Extensions.Caching.Abstractions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Caching.Abstractions.xml,74948,,5,5,178625,65558
System.Linq,4.3.0,ok,ref/netcore50/System.Linq.xml,170926,,7,30,512550,65558
Microsoft.Extensions.Caching.Memory,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Caching.Memory.xml,25048,,5,5,194912,65558
System.Runtime.InteropServices,4.3.0,ok,ref/netcore50/System.Runtime.InteropServices.xml,385530,,10,50,2597020,65558
Microsoft.Extensions.Options.ConfigurationExtensions,10.0.11,ok,lib/net10.0/Microsoft.Extensions.Options.ConfigurationExtensions.xml,13101,,5,5,131302,65558
System.Linq.Expressions,4.3.0,ok,ref/netcore50/System.Linq.Expressions.xml,516220,,8,40,1928029,65558
